               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052033,            0.019858,            0.061629,             0.36194,             0.49535,             0.38135,              0.2614,            0.023738,           0.0082356,            0.056044,           0.0033285,           0.0033285,            0.070044
                   1,            0.036812,           0.0093416,            0.040458,             0.71319,             0.82986,             0.78982,             0.47582,            0.030614,           0.0063221,            0.022101,           0.0065959,           0.0065959,            0.039978
                   2,            0.036828,           0.0088047,            0.020152,             0.80731,             0.75513,             0.84251,              0.5736,            0.025743,           0.0071916,            0.019416,           0.0097973,           0.0097973,           0.0098457
                   3,            0.031516,           0.0085364,            0.015516,             0.88965,             0.86722,             0.93106,             0.68711,            0.022072,           0.0058864,            0.012198,            0.009703,            0.009703,            0.009703
                   4,            0.027453,           0.0078656,            0.012065,             0.93431,              0.9271,             0.97292,             0.77667,            0.017474,           0.0049393,           0.0074899,            0.009703,            0.009703,            0.009703
                   5,            0.024417,           0.0071695,            0.009512,             0.95726,             0.95681,             0.98425,             0.79753,            0.016342,           0.0045654,           0.0050102,            0.009604,            0.009604,            0.009604
                   6,            0.022815,           0.0067751,           0.0082569,             0.96484,             0.96372,             0.98549,             0.80188,            0.015671,           0.0044028,           0.0040535,            0.009505,            0.009505,            0.009505
                   7,            0.021976,           0.0065945,           0.0074179,             0.94178,             0.91295,              0.9616,             0.78139,             0.01636,           0.0049043,           0.0066124,            0.009406,            0.009406,            0.009406
                   8,            0.021057,           0.0063376,           0.0067509,             0.96413,             0.97506,             0.98829,             0.83759,            0.013352,           0.0040104,           0.0030698,            0.009307,            0.009307,            0.009307
                   9,            0.020302,           0.0063227,           0.0064087,             0.97259,             0.96875,             0.98891,             0.83772,            0.013817,           0.0040263,           0.0033552,            0.009208,            0.009208,            0.009208
                  10,            0.019855,           0.0061025,           0.0058427,              0.9663,             0.96577,              0.9873,             0.84304,            0.012976,            0.004042,           0.0034944,            0.009109,            0.009109,            0.009109
                  11,            0.019281,           0.0060276,           0.0055866,             0.96955,             0.97185,             0.98807,             0.84809,            0.012781,           0.0038198,           0.0032212,             0.00901,             0.00901,             0.00901
                  12,            0.018856,           0.0057516,           0.0053457,             0.98306,             0.98243,             0.99179,             0.86055,            0.012181,           0.0036863,           0.0022465,            0.008911,            0.008911,            0.008911
                  13,            0.018368,           0.0057367,           0.0049855,             0.97386,             0.97406,             0.99014,             0.85776,            0.012312,           0.0037758,           0.0027825,            0.008812,            0.008812,            0.008812
                  14,            0.018119,            0.005641,           0.0047556,             0.98433,             0.98835,             0.99199,             0.87165,            0.011322,           0.0035093,           0.0017666,            0.008713,            0.008713,            0.008713
                  15,             0.01758,           0.0055742,           0.0045097,             0.98769,             0.99034,             0.99245,             0.87571,            0.011146,           0.0034613,           0.0014909,            0.008614,            0.008614,            0.008614
                  16,            0.017124,           0.0054629,             0.00417,             0.97874,             0.98588,             0.99144,             0.87622,             0.01077,            0.003403,           0.0020962,            0.008515,            0.008515,            0.008515
                  17,            0.016887,           0.0054095,           0.0037833,             0.98457,             0.98934,             0.99214,             0.88105,            0.010655,           0.0033623,            0.001875,            0.008416,            0.008416,            0.008416
                  18,            0.016763,           0.0053373,           0.0040794,             0.98753,             0.98985,             0.99278,             0.88105,            0.010647,           0.0033343,           0.0015436,            0.008317,            0.008317,            0.008317
